Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-64.03232	-78.66351	14.63119	0.3994587	0.2737466	0.8109359
6	-64.93925	-79.26689	14.32764	0.4016499	0.5358101	0.2591181
12	-70.31676	-85.29543	14.97867	0.3743458	0.06876781	0.3642036
18	-65.32712	-79.59447	14.26735	0.5951106	0.4176413	0.385301
24	-65.89734	-80.2009	14.30356	0.4830714	0.3484379	0.9309087
30	-62.69493	-77.43431	14.73939	0.5532193	0.03496992	0.4531819
36	-61.97024	-77.8038	15.83356	0.03503803	0.3412035	0.5429005
42	-61.52443	-76.3054	14.78097	0.1607016	0.2154648	1.300271
48	-59.80136	-75.18745	15.38609	0.1111132	0.3793152	0.6922763
54	-60.62068	-75.7093	15.08861	0.2926531	0.06457973	0.7832884
60	-62.29392	-77.91303	15.61911	0.1623548	0.002309872	0.5892612
66	-60.62347	-76.03323	15.40976	0.1623548	0.0001335648	0.915124
72	-60.47187	-75.45956	14.98769	0.4098243	0.000997995	0.6435762
78	-66.6913	-79.72453	13.03323	2.285396	0.1892496	0.7528301
84	-64.27466	-78.74285	14.46819	0.2183719	0.3836134	1.272778
90	-63.76453	-79.55976	15.79523	0.0410654	0.3398329	0.4201623
96	-66.36994	-79.95719	13.58725	0.9559446	0.6316337	0.3499011
102	-62.6639	-78.2053	15.54139	0.05061359	0.5580544	0.4672574
108	-67.13146	-81.19855	14.06709	0.3548852	1.060742	0.4525129
114	-66.74953	-81.75984	15.0103	0.1427696	0.6696259	0.6172044
120	-67.11719	-81.14454	14.02735	0.6738107	0.442209	0.8087371
126	-65.38811	-79.56793	14.17981	0.4149732	0.7844951	0.6739943
132	-65.26059	-79.89047	14.62988	0.4149732	0.3386521	0.6656685
138	-64.73273	-78.93341	14.20068	0.281267	0.9464882	0.2730805
144	-67.35395	-81.4594	14.10545	0.519478	0.7109352	0.4163813
150	-66.34386	-81.22834	14.88448	0.2019232	0.3481935	0.9707968
156	-65.85925	-82.06028	16.20103	0.02242452	0.005223232	0.6052542
162	-62.40263	-77.79437	15.39174	0.04818342	0.00083278	1.361546
168	-59.88828	-75.63727	15.749	0.08687356	0.1783032	0.4825028
174	-63.87806	-77.90956	14.0315	0.4305697	0.9513232	0.4697427
180	-60.09668	-76.15591	16.05922	0.0309527	0.1284673	0.4367863
186	-64.44819	-79.69609	15.24791	0.09712524	0.5755968	0.6927806
192	-65.56652	-80.7326	15.16609	0.08727243	0.3427447	1.105277
198	-67.57856	-80.71449	13.13594	0.8416181	0.3728842	1.491999
204	-71.64971	-84.98609	13.33638	1.148579	0.5054961	0.9392641
210	-69.89723	-84.78872	14.89149	0.09354055	0.1624441	1.45705
216	-68.7429	-83.88396	15.14106	0.009676954	0.7634812	0.9680442
222	-66.3458	-79.91744	13.57164	0.3099387	1.32119	0.1930126
228	-64.49642	-78.89501	14.39859	0.07483724	1.196102	0.1780913
234	-63.63788	-76.62265	12.98477	1.269285	0.9434569	0.349558
240	-61.88483	-76.21719	14.33236	0.235107	0.1356695	1.535162
246	-64.36875	-78.41028	14.04153	0.397328	0.0572793	1.535162
252	-63.15509	-78.04649	14.8914	0.3146617	0.2668528	0.6968389
258	-61.28841	-76.01066	14.72225	0.1868261	0.7593873	0.7194146
264	-62.90025	-77.65064	14.75038	0.4281785	0.2039325	0.6437715
270	-63.60852	-78.43775	14.82923	0.2912883	0.4448615	0.4968018
276	-64.83415	-79.63495	14.8008	0.1761194	0.7461333	0.366612
282	-59.90835	-75.18231	15.27396	0.2546772	0.07023285	0.6083601
288	-63.75292	-79.34937	15.59645	0.03729443	0.4104294	0.8394382
294	-59.91708	-75.28275	15.36567	0.205852	0.1312378	0.5342496
300	-62.47402	-76.50641	14.03239	0.6310232	0.4434619	0.8732767
306	-66.92247	-81.36378	14.44131	0.57359	0.1968583	0.7723802
312	-63.23442	-77.91522	14.6808	0.3573196	0.4006629	0.667587
318	-62.05465	-77.59286	15.53821	0.1335243	0.1041525	0.7509809
324	-59.58673	-75.50636	15.91963	0.03374155	0.2515217	0.4235685
330	-63.17043	-77.73221	14.56178	0.5165255	0.1605742	0.2972269
336	-63.86514	-79.02959	15.16445	0.1445416	0.3975301	0.2828332
342	-62.8134	-77.46433	14.65094	0.2228177	0.7974117	0.4681719
348	-61.87536	-77.3529	15.47754	0.02427883	0.5313328	0.8997986
354	-64.92297	-80.04591	15.12295	0.07312695	0.5313328	1.029693
360	-63.79016	-78.24216	14.452	0.1646438	0.04893025	1.665047
366	-64.50943	-79.44649	14.93707	0.06685262	0.7336014	1.042885
372	-59.6627	-75.13439	15.47169	0.01887168	0.7336014	0.3955335
378	-62.63723	-77.29604	14.65881	0.2221459	0.741735	0.67865
384	-63.50312	-78.08249	14.57937	0.3288844	0.1992023	1.09834
390	-61.48087	-76.97342	15.49255	0.08014802	0.339157	0.795679
396	-62.59385	-77.93487	15.34101	0.2522721	0.02927697	0.481566
402	-66.02247	-79.79675	13.77428	0.9840227	0.4711283	0.5279822
408	-62.21252	-76.83484	14.62231	0.4965421	0.1921111	0.6850895
414	-69.72632	-83.98008	14.25376	0.4307639	0.6872304	0.6620826
420	-64.78441	-78.6179	13.83349	1.453617	0.005129201	0.5186362
426	-64.74158	-79.38969	14.6481	0.6048443	0.009325901	0.6645488
432	-63.6888	-77.87287	14.18407	0.8367625	0.09889114	0.789389
438	-61.91566	-76.43378	14.51811	0.4394182	0.3283829	0.789389
444	-66.74776	-82.31026	15.5625	0.08539651	0.3706452	0.5271098
450	-67.7336	-81.89003	14.15642	0.03358161	1.857471	0.2615899
456	-65.5128	-79.90822	14.39543	0.1815501	1.173905	0.45748
462	-71.54815	-85.83207	14.28392	0.1306979	0.9771697	1.16754
468	-66.93847	-81.17522	14.23675	0.8648035	0.1200438	0.5969114
474	-60.60575	-75.35511	14.74935	0.09207387	1.155092	0.4854037
480	-68.39775	-82.39716	13.99941	0.55435	0.7774495	0.4854037
486	-61.72501	-77.17095	15.44594	0.1193091	0.1545346	0.8761825
492	-66.84397	-81.17563	14.33166	0.05106387	0.4771397	1.780273
498	-63.81948	-78.80632	14.98684	0.1615507	0.1180871	1.207639
504	-61.30074	-76.67333	15.37259	0.04722705	0.148428	1.261597
510	-65.47369	-80.81614	15.34245	0.03057155	0.8063664	0.6736866
516	-62.90013	-78.43934	15.53921	0.08692057	0.2442827	0.8186155
522	-59.70468	-74.44164	14.73696	0.1709116	0.7261552	0.8186155
528	-69.83819	-83.0566	13.21841	1.324062	0.721879	0.5008914
534	-71.02389	-83.44247	12.41858	2.495504	0.4160422	1.068119
540	-65.96174	-80.63861	14.67687	0.1325987	0.8240321	0.9307309
546	-59.45383	-74.7752	15.32137	0.1721281	0.04190043	0.9307309
552	-61.85502	-76.83076	14.97574	0.1585872	0.6033789	0.7099373
558	-61.99085	-76.6362	14.64535	0.0333112	1.428543	0.2989556
564	-64.47099	-77.74338	13.27239	1.880681	0.1647216	0.2989556
570	-63.01194	-77.79999	14.78805	0.1341914	0.1039565	1.455935
576	-61.16784	-76.99837	15.83053	0.05734994	0.192537	0.665197
582	-63.10681	-77.95647	14.84967	0.08277097	1.009205	0.7394341
588	-62.07167	-77.40367	15.332	0.00919507	0.7518909	0.7394341
594	-63.70717	-78.163	14.45582	0.4358814	0.4584291	0.6951503
600	-65.7191	-80.87718	15.15808	0.1879588	0.314731	0.7280021
606	-65.0587	-79.35333	14.29463	0.7280603	0.1597838	0.7294424
612	-64.54726	-78.35515	13.80789	0.4790836	1.090897	0.5111131
618	-63.61842	-79.34816	15.72973	0.05650772	0.308928	0.3814619
624	-72.80997	-86.45083	13.64086	0.8661254	0.5605554	0.8514544
630	-66.37039	-81.86519	15.4948	0.1222466	0.07098343	0.9027018
636	-69.29099	-82.36424	13.07325	1.360318	0.7366219	0.3072774
642	-61.37181	-77.16845	15.79664	0.0421554	0.3369195	0.5756982
648	-65.23608	-79.45752	14.22144	0.5713186	0.1839329	1.038523
654	-61.48665	-76.83658	15.34992	0.1736964	0.2430836	0.5531132
660	-65.85317	-80.04116	14.18799	0.64919	0.229996	0.9104329
666	-64.1645	-79.04242	14.87792	0.3165603	0.2817285	0.6865925
672	-70.88949	-85.9619	15.07241	0.02469247	0.09228539	1.613173
678	-63.20094	-78.75405	15.55311	0.07840142	0.152542	0.9528942
684	-62.99054	-77.03012	14.03958	0.4446706	0.4451228	1.156508
690	-66.51599	-79.4411	12.92511	1.434726	0.5781169	1.042616
696	-61.86594	-77.58627	15.72033	0.02856797	0.4847988	0.5227828
702	-63.24937	-77.36002	14.11065	0.3814291	0.9349391	0.3823696
708	-59.8103	-75.04012	15.22983	0.2063336	0.2103783	0.6893069
714	-60.20247	-76.07086	15.86839	0.04799052	0.1024277	0.8183778
720	-63.31017	-78.37326	15.06309	0.1465281	0.4778446	0.2740546
726	-68.11319	-83.3513	15.23811	0.1989973	0.1858855	0.751438
732	-61.3851	-76.24965	14.86455	0.3919221	0.09738495	0.3117333
738	-60.38861	-75.36288	14.97426	0.3335234	0.1546505	0.6737645
